Shape,nsites,elements,nelements,composition,composition_reduced,formula_pretty,formula_anonymous,chemsys,volume,density,density_atomic,symmetry,material_id,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,grain_boundaries,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,types_of_magnetic_species,k_vrh,g_vrh,e_total,e_ionic,e_electronic,n,e_ij_max,weighted_surface_energy_EV_PER_ANG2,weighted_surface_energy,weighted_work_function,surface_anisotropy,shape_factor,has_reconstructed,possible_species,theoretical
Cubic,10,"[Element Cl, Element Ga, Element Na, Element Rb]",4,Rb2 Na1 Ga1 Cl6,Rb2 Na1 Ga1 Cl6,Rb2NaGaCl6,ABC2D6,Cl-Ga-Na-Rb,277.8072514687602,2.8473877554373117,27.780725146876023,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1113926,-3.332075295,-3.7004752949999995,-1.9601843529051721,0.05649475149999894,False,,2.9042,2.2738,-0.6304,-0.62488598,True,False,False,NM,0.0011545,4.155759051990855e-06,0.0011545,0,0,[],,,,,,,,,,,,,,"['Ga3+', 'Cl-', 'Na+', 'Rb+']",True
Cubic,5,"[Element O, Element Rb, Element Ru]",3,Rb1 Ru1 O3,Rb1 Ru1 O3,RbRuO3,ABC3,O-Rb-Ru,62.97762089316109,6.184041013311599,12.595524178632218,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-975208,-6.04598619,-6.458186190000001,-1.4391856407500008,0.19918271775000562,False,,0.0,,,3.19489095,False,True,False,NM,0.0416099,0.0006607093029218976,0.0416099,0,0,[],,,,,,,,,,,,,,"['Rb+', 'Ru5+', 'O2-']",True
Cubic,10,"[Element Ca, Element Nb, Element O, Element Zr]",4,Ca2 Zr1 Nb1 O6,Ca2 Zr1 Nb1 O6,Ca2ZrNbO6,ABC2D6,Ca-Nb-O-Zr,138.4168510333885,4.322187845964952,13.84168510333885,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1517008,-8.075676893,-8.487876893000001,-3.253843123250001,0.18997735862499532,False,,0.0,,,5.77941284,False,True,False,NM,2.95e-05,2.1312433984561674e-07,2.95e-05,0,0,[],,,,,,,,,,,,,,"['Nb4+', 'Ca2+', 'Zr4+', 'O2-']",True
Cubic,5,"[Element Cs, Element O, Element Pb]",3,Cs1 Pb1 O3,Cs1 Pb1 O3,CsPbO3,ABC3,Cs-O-Pb,89.94995765714654,7.164664583017451,17.989991531429308,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1185545,-4.6024525480000005,-5.014652548,-1.1250294328362067,0.20790450233333324,False,,0.0,,,2.01281751,False,True,True,FM,1.0528167,0.011704471324076865,1.0528167,3,1,[Element O],,,,,,,,,,,,,,[],True
Cubic,10,"[Element Ca, Element O, Element V, Element Zr]",4,Ca2 Zr1 V1 O6,Ca2 Zr1 V1 O6,Ca2ZrVO6,ABC2D6,Ca-O-V-Zr,127.73049560900083,4.13823892272461,12.773049560900082,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',mp-1518218,-7.686845841999999,-8.269045842,-3.1367519692499997,0.16784925370536996,False,,0.0,,,4.58578549,False,True,True,FM,1.0,0.007828983949620975,1.0,1,1,[Element V],,,,,,,,,,,,,,"['Ca2+', 'O2-', 'V4+', 'Zr4+']",True
Cubic,5,"[Element O, Element Pd, Element Si]",3,Si1 Pd1 O3,Si1 Pd1 O3,SiPdO3,ABC3,O-Pd-Si,46.58900297437676,6.504851022798701,9.317800594875353,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-978490,-6.241062066,-6.653262065999999,-1.564208871249999,0.7127954030000039,False,,0.0,,,6.21688942,False,True,True,FM,1.9946826,0.04281445132227974,1.9946826,4,2,"[Element Pd, Element O]",,,,,,,,,,,,,,"['Pd2+', 'O2-', 'Si4+']",True
Orthorhombic,20,"[Element Ca, Element O, Element W]",3,Ca4 W4 O12,Ca1 W1 O3,CaWO3,ABC3,Ca-O-W,255.79037973460856,7.060898434255337,12.789518986730428,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',mp-1342410,-7.2731237664999995,-8.5729237665,-2.61216451775,0.053646282333335904,False,,1.9784000000000006,6.2205,4.2421,6.22052008,True,False,True,FM,7.9996162,0.031274108933650596,1.99990405,4,1,[Element W],,,,,,,,,,,,,,"['W4+', 'Ca2+', 'O2-']",True
Cubic,5,"[Element Ba, Element O, Element Pb]",3,Ba1 Pb1 O3,Ba1 Pb1 O3,BaPbO3,ABC3,Ba-O-Pb,83.00858149731611,7.852241508861981,16.601716299463224,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',mp-21280,-5.7647324939999995,-6.176932494,-2.0825948652499995,0.02701866400000341,False,,0.0,,,3.12775607,False,True,False,NM,0.0002,2.409389443746446e-06,0.0002,0,0,[],,,,,,,,,,,,,,"['O2-', 'Pb4+', 'Ba2+']",False
Orthorhombic,20,"[Element Ca, Element O, Element Ti]",3,Ca4 Ti4 O12,Ca1 Ti1 O3,CaTiO3,ABC3,Ca-O-Ti,224.09973769300066,4.02925941391082,11.204986884650033,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',mp-4019,-8.0928821395,-8.5050821395,-3.5568505334166667,0.0,True,,2.3053,5.3244,3.0191,3.09815529,True,False,False,NM,0.0,0.0,0.0,0,0,[],171.9010222237095,101.23433735294694,,,,,,,,,,,,"['Ca2+', 'O2-', 'Ti4+']",False
Trigonal,20,"[Element Ba, Element O, Element Ru, Element Tb]",4,Ba4 Tb1 Ru3 O12,Ba4 Tb1 Ru3 O12,Ba4Tb(RuO4)3,AB3C4D12,Ba-O-Ru-Tb,302.459067607067,6.607018784537857,15.122953380353351,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='1.16.2',mp-6049,-7.078164231,-7.490364230999999,-2.515677330249999,0.002422103833334077,False,,0.0,,,3.62935765,False,True,True,FM,5.0003405,0.01653228828469471,5.0003405,3,2,[Element Ru],,,,,,,,,,,,,,"['O2-', 'Tb3+', 'Ru5+', 'Ru4+', 'Ba2+']",False
