Shape,nsites,elements,nelements,composition,composition_reduced,formula_pretty,formula_anonymous,chemsys,volume,density,density_atomic,symmetry,material_id,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,grain_boundaries,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,types_of_magnetic_species,k_vrh,g_vrh,e_total,e_ionic,e_electronic,n,e_ij_max,weighted_surface_energy_EV_PER_ANG2,weighted_surface_energy,weighted_work_function,surface_anisotropy,shape_factor,has_reconstructed,possible_species,theoretical
Shape,nsites,nelements,composition_reduced
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,5,3,Ca1 Co1 O3
Cubic,10,4,K2 Cu1 Bi1 Br6
Cubic,10,4,K2 Na1 Pd1 F6
Cubic,5,3,Mg1 V1 O3
Cubic,5,3,Pr3 Al1 N1
Cubic,10,3,K3 As1 Cl6
Cubic,10,4,Rb2 Na1 Nd1 F6
Cubic,5,3,Ba3 Sb1 P1
Cubic,5,3,Sr3 Bi1 Sb1
Cubic,5,3,Sr1 Ir1 O3
Tetragonal,20,4,Sr1 Ca3 Mn4 O12
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Ba3 Sb1 P1
Cubic,5,3,Sr3 Bi1 Sb1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Hf1 Zn1 O3
Cubic,5,3,Ti3 Al1 N1
Cubic,5,3,La1 Ni1 O3
Cubic,20,3,Sr1 Mn1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Ba3 Sb1 P1
Cubic,5,3,Sr3 Bi1 Sb1
Cubic,5,3,Cd1 Co3 N1
Cubic,5,3,Sr1 Ir1 O3
Tetragonal,20,4,Sr1 Ca3 Mn4 O12
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Hg1 Os1 O3
Cubic,5,3,La1 Pd3 C1
Cubic,5,3,Cr3 Pt1 N1
Cubic,10,4,Rb2 Nb1 Ag1 F6
Cubic,5,3,Zn1 Sn1 O3
Cubic,5,3,K1 Mo1 O3
Cubic,5,3,Ce3 Al1 N1
Cubic,10,4,La2 Mn1 Ni1 O6
Cubic,5,3,Cd1 H1 Cl3
Cubic,10,3,Co1 I3 N6
Cubic,10,3,Na3 Au1 F6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Cs2 Ag1 Bi1 Cl6
Orthorhombic,20,3,Sr1 Os1 O3
Cubic,10,4,Cs2 Eu1 Ag1 Cl6
Cubic,5,3,Ba3 As1 P1
Cubic,5,3,La1 Pt3 C1
Cubic,10,4,Rb2 Li1 Nd1 I6
Cubic,10,4,K2 In1 Au1 F6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Cs2 In1 Hg1 F6
Monoclinic,20,4,La2 Mg1 Rh1 O6
Cubic,5,3,Na1 Mo1 O3
Cubic,5,3,Ca1 V1 O3
Cubic,40,4,Ca7 Mg1 Mn8 O24
Cubic,5,3,Sr1 Al1 H3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Hf1 Zn1 O3
Cubic,5,3,Ti3 Al1 N1
Cubic,5,3,La1 Ni1 O3
Cubic,20,4,Ba2 Cr1 Mo1 O6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Hg1 Os1 O3
Cubic,5,3,La1 Pd3 C1
Cubic,5,3,Cr3 Pt1 N1
Cubic,10,4,Rb2 Nb1 Ag1 F6
Cubic,5,3,Sm3 Ga1 C1
Cubic,5,3,Mg3 Sb1 N1
Cubic,5,3,Zn1 Sn1 O3
Cubic,5,3,K1 Mo1 O3
Cubic,5,3,Ce3 Al1 N1
Cubic,5,3,Sc1 B1 Ir3
Cubic,10,4,Ba2 La1 Ir1 O6
Cubic,10,4,La2 Mn1 Ni1 O6
Cubic,5,3,Cd1 H1 Cl3
Cubic,10,3,Co1 I3 N6
Cubic,5,3,Er3 Ga1 C1
Cubic,5,3,Mn1 N1 F3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Monoclinic,20,3,Tm1 Ni1 O3
Cubic,10,4,Na2 Li1 In1 F6
Cubic,5,3,Mg1 V1 O3
Cubic,5,3,Pr3 Al1 N1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Sc3 B1 Pb1
Cubic,5,3,Ba3 P1 N1
Cubic,5,3,Sn1 Hg1 O3
Cubic,10,4,Cs2 Ag1 Bi1 Cl6
Orthorhombic,20,3,Sr1 Os1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,5,3,Ti1 Sn1 O3
Cubic,10,4,Ba2 Zr1 Ti1 O6
Cubic,10,3,Li3 Ru1 F6
Cubic,5,3,Ba3 As1 P1
Cubic,5,3,La1 Pt3 C1
Cubic,10,4,Rb2 Li1 Nd1 I6
Cubic,10,4,K2 In1 Au1 F6
Cubic,5,3,Ba3 Bi1 N1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Cs2 Ta1 Cu1 I6
Cubic,5,3,Y3 Sn1 C1
Cubic,10,4,K2 Y1 Cu1 I6
Cubic,10,4,K2 Tl1 Hg1 Cl6
Cubic,5,3,Ca3 Bi1 P1
Cubic,5,3,Mn3 Cu1 N1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Ba3 Sb1 P1
Cubic,5,3,In1 Ni3 N1
Cubic,40,4,Sr7 Ca1 Ti8 O24
Cubic,5,3,Na1 Cr1 O3
Cubic,20,3,Sr1 Mn1 O3
Cubic,10,4,Cs2 Na1 Au1 Br6
Cubic,10,4,Rb2 Ag1 Mo1 F6
Orthorhombic,20,3,In1 Rh1 O3
Cubic,10,4,Rb2 Na1 Bi1 I6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,La2 Zr1 Ni1 O6
Cubic,10,4,Rb2 Na1 Pr1 I6
Cubic,5,3,Ca1 Co1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Ba3 Sb1 P1
Cubic,10,4,K2 Na1 In1 Cl6
Cubic,10,4,K2 Cu1 Au1 Cl6
Cubic,5,3,K1 Cu1 Cl3
Cubic,10,4,Cs2 Na1 Ce1 F6
Cubic,10,4,Rb2 In1 Ag1 I6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Cu1 Sb1 F6
Cubic,10,4,Mn1 Re1 Pb2 O6
Cubic,10,4,Rb2 Y1 Cu1 Cl6
Cubic,5,3,Cu1 Ni3 N1
Orthorhombic,20,3,Ce1 Ga1 O3
Cubic,10,4,Rb2 Tl1 Ag1 F6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Tm3 Ga1 C1
Cubic,10,4,Ba2 Na1 I1 O6
Cubic,5,3,Zr1 Hg1 O3
Cubic,5,3,Er3 Al1 N1
Cubic,5,3,Hg1 Rh1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,40,4,Sr8 Mn1 Fe7 O24
Cubic,5,3,Mn3 In1 C1
Cubic,5,3,Sr3 Bi1 Sb1
Cubic,5,3,Cd1 Co3 N1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,La1 Ga1 O3
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,5,3,Sr1 Ir1 O3
Cubic,10,4,K2 Na1 Mo1 I6
Tetragonal,20,4,Sr1 Ca3 Mn4 O12
Cubic,10,4,K2 Li1 Nd1 Cl6
Cubic,10,4,Rb2 Dy1 Ag1 Cl6
Cubic,10,4,Rb2 Li1 Y1 I6
Cubic,5,3,Sr3 Bi1 As1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,20,4,Ba2 Nb1 Fe1 O6
Orthorhombic,20,3,Tl1 Cr1 O3
Cubic,5,3,Cd1 Ru1 O3
Cubic,10,3,Rb3 Sc1 Cl6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Ti3 Al1 N1
Cubic,5,3,La1 Ni1 O3
Cubic,20,4,Ba2 Cr1 Mo1 O6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,La3 Pb1 C1
Cubic,5,3,Ba3 Bi1 As1
Cubic,5,3,Cd1 Os1 O3
Cubic,5,3,Mn1 Zn1 O3
Tetragonal,40,4,La1 Sm1 Co2 O6
Cubic,10,4,Cs2 Cu1 Bi1 F6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Cs2 Li1 Bi1 F6
Cubic,10,4,Na2 Mn1 Ag1 F6
Cubic,10,4,Rb2 Tb1 Ag1 Cl6
Cubic,5,3,Sr1 Ge1 O3
Cubic,10,4,Ba2 Y1 Os1 O6
Cubic,10,4,Sr2 La1 Cr1 O6
Cubic,5,3,Ge1 Pb1 O3
Cubic,10,4,La2 Ti1 Ni1 O6
Cubic,5,3,Sm3 Sn1 C1
Orthorhombic,20,3,Sr1 Ir1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Cr3 Pd1 N1
Cubic,5,3,Zr1 Ru3 C1
Cubic,5,3,V1 Zn1 O3
Cubic,5,3,Nd3 Pb1 N1
Cubic,10,4,Rb2 Na1 Ce1 Br6
Monoclinic,20,4,La2 Mg1 Rh1 O6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,3,K1 Tl1 I3
Cubic,5,3,Na1 Mo1 O3
Cubic,5,3,Ba1 V1 O3
Cubic,5,3,K1 Cr1 O3
Cubic,5,3,Ca1 V1 O3
Cubic,40,4,Ca7 Mg1 Mn8 O24
Cubic,5,3,Sr1 Al1 H3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Mg1 Si1 O3
Cubic,10,4,Rb2 Cu1 Sb1 Br6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Monoclinic,20,4,Ba2 Pr1 Nb1 O6
Cubic,5,3,Ni1 N1 F3
Cubic,5,3,Cu1 N1 F3
Cubic,5,3,Ca3 Bi1 P1
Cubic,10,4,Rb2 Na1 Ta1 F6
Cubic,10,4,Rb2 Na1 Ta1 Cl6
Cubic,10,3,Li3 Ir1 F6
Cubic,5,3,K1 Cu1 Cl3
Cubic,10,4,Cs2 Na1 Ce1 F6
Cubic,10,4,Cs2 Na1 Nd1 F6
Cubic,10,4,Rb2 Al1 Ag1 Cl6
Cubic,5,3,Ca1 Fe1 O3
Monoclinic,20,3,Sc1 Mn1 O3
Cubic,10,4,Rb2 Cu1 Sb1 F6
Cubic,10,4,Mn1 Re1 Pb2 O6
Cubic,10,4,Rb2 Y1 Cu1 Cl6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,3,Rb1 In1 F3
Cubic,5,3,La1 Ga1 O3
Cubic,10,4,Rb2 Na1 Bi1 Br6
Cubic,5,3,Tm3 Al1 N1
Cubic,10,4,Ba2 U1 Cd1 O6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Mg1 Sn1 O3
Cubic,5,3,Tm3 Ga1 C1
Cubic,10,4,Ba2 Na1 I1 O6
Cubic,5,3,Zr1 Hg1 O3
Orthorhombic,20,3,Mn1 Bi1 O3
Cubic,10,4,Rb2 Li1 Mo1 Cl6
Cubic,10,4,Rb2 Li1 Sb1 I6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,5,3,Zn1 Si1 O3
Cubic,20,4,Sr2 Hf1 Cr1 O6
Cubic,10,4,K2 Tl1 Au1 F6
Cubic,5,3,Er3 Al1 N1
Cubic,5,3,Hg1 Rh1 O3
Cubic,10,4,Rb2 Li1 Ta1 Cl6
Cubic,10,3,K3 Nd1 F6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Tetragonal,20,4,Sr3 Ca1 Fe4 O12
Cubic,5,3,Rb1 Au1 Br3
Cubic,5,3,Mg3 Sb1 N1
Cubic,5,3,Zn1 Sn1 O3
Cubic,5,3,Er1 B1 Pd3
Cubic,5,3,K1 Mo1 O3
