Shape,nsites,elements,nelements,composition,composition_reduced,formula_pretty,formula_anonymous,chemsys,volume,density,density_atomic,symmetry,material_id,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,grain_boundaries,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,types_of_magnetic_species,k_vrh,g_vrh,e_total,e_ionic,e_electronic,n,e_ij_max,weighted_surface_energy_EV_PER_ANG2,weighted_surface_energy,weighted_work_function,surface_anisotropy,shape_factor,has_reconstructed,possible_species,theoretical
Shape,nsites,nelements,composition_reduced
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,20,4,Ba2 Nb1 Fe1 O6
Cubic,5,3,Ba3 Bi1 Sb1
Orthorhombic,20,3,Tl1 Cr1 O3
Cubic,5,3,Ba1 Rh1 O3
Cubic,5,3,Ca1 Hf1 O3
Cubic,10,4,Cs2 Na1 As1 Br6
Cubic,20,3,Sr1 Mn1 O3
Cubic,10,4,Cs2 Na1 Au1 Br6
Orthorhombic,20,3,In1 Rh1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Ba3 Sb1 P1
Cubic,5,3,Sc3 Sn1 B1
Cubic,5,3,Sc1 Pt3 C1
Cubic,40,4,Sr8 Mn1 Fe7 O24
Cubic,5,3,Mn3 In1 C1
Monoclinic,20,4,Ca2 Sc1 Os1 O6
Cubic,10,4,Rb2 Pd1 Au1 F6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Ag1 Sb1 Br6
Cubic,10,3,K3 Cr1 F6
Cubic,10,4,Cs2 Na1 Nd1 Cl6
Cubic,10,4,Cs2 Rb1 Ga1 Cl6
Cubic,5,3,Sr3 Bi1 Sb1
Cubic,10,4,K2 Na1 Pr1 F6
Cubic,10,4,K2 Bi1 Au1 Br6
Cubic,10,4,K2 In1 Bi1 F6
Cubic,5,3,Lu3 Sn1 C1
Cubic,5,3,Ba3 As1 P1
Cubic,5,3,La1 Pt3 C1
Cubic,5,3,Rb1 Os1 O3
Cubic,5,3,Ba3 Bi1 N1
Cubic,5,3,K1 Mg1 H3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Li1 Bi1 Br6
Cubic,10,4,K2 Ag1 Bi1 I6
Cubic,10,4,Rb2 Y1 Ag1 F6
Cubic,10,4,Rb2 Li1 Mo1 Br6
Cubic,10,4,Cs2 Cu1 Bi1 F6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Hf1 Zn1 O3
Cubic,5,3,Ti3 Al1 N1
Cubic,5,3,Sr3 Bi1 As1
Cubic,5,3,Hg1 Ru1 O3
Cubic,5,3,La1 Ni1 O3
Cubic,5,3,Sm1 Ag1 O3
Cubic,40,4,Sr8 Fe7 Co1 O24
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Cd1 Ru1 O3
Cubic,5,3,Sr3 Sb1 As1
Tetragonal,20,4,Sr1 Ca3 Mn4 O12
Cubic,5,3,Ca1 Ir1 O3
Tetragonal,40,5,K2 Na2 Mo3 W1 O12
Cubic,10,4,Rb2 Mo1 Au1 F6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Tb3 Al1 N1
Cubic,5,3,Sc1 Rh3 C1
Cubic,10,4,K2 Na1 Bi1 F6
Cubic,10,4,Cs2 K1 Sm1 Cl6
Cubic,5,3,Sr1 Ir1 O3
Tetragonal,20,4,Sr1 Ca3 Mn4 O12
Cubic,10,4,Sr2 Ti1 Fe1 O6
Cubic,10,4,Rb2 Ag1 Ir1 F6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,La3 Pb1 C1
Cubic,5,3,Al1 Co3 C1
Cubic,5,3,Ba3 Bi1 As1
Cubic,5,3,Cd1 Os1 O3
Cubic,5,3,Mn1 Zn1 O3
Tetragonal,40,4,La1 Sm1 Co2 O6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Sr1 Ge1 O3
Cubic,10,4,Ba2 Y1 Os1 O6
Cubic,10,4,Sr2 La1 Cr1 O6
Cubic,5,3,Ge1 Pb1 O3
Cubic,10,4,La2 Ti1 Ni1 O6
Cubic,10,4,Rb2 Na1 Ce1 F6
Orthorhombic,20,3,La1 Lu1 S3
Cubic,5,3,Eu1 Fe1 O3
Cubic,5,3,Sm3 Sn1 C1
Cubic,10,4,Rb2 Li1 Ta1 I6
Orthorhombic,20,3,Sr1 Ir1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,V1 Zn1 O3
Cubic,5,3,Nd3 Pb1 N1
Monoclinic,20,4,La2 Mg1 Rh1 O6
Cubic,5,3,Na1 Os1 O3
Cubic,10,4,Na1 Pb2 I1 O6
Cubic,40,4,La7 Sm1 Mn8 O24
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,5,3,Ba3 Sb1 As1
Cubic,5,3,Rb1 Cr1 O3
Monoclinic,20,4,Sr2 Ho1 Mo1 O6
Cubic,10,4,K2 In1 Ag1 Cl6
Cubic,5,3,Cr3 Pd1 N1
Cubic,5,3,Zr1 Ru3 C1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,5,3,Cd1 Rh1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Cs2 In1 Ag1 Cl6
Cubic,5,3,Mg1 Si1 O3
Cubic,40,4,Ca7 Mg1 Mn8 O24
Cubic,5,3,Sr1 Al1 H3
Cubic,5,3,Sr3 As1 P1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,K1 Cd1 F3
Cubic,5,3,Tl1 H1 Pd3
Cubic,10,4,Rb2 Cu1 Sb1 Br6
Cubic,5,3,La1 Ag1 O3
Cubic,10,4,Ba2 Ta1 In1 O6
Cubic,10,4,K2 Nd1 Ag1 Br6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Monoclinic,20,4,Ba2 Pr1 Nb1 O6
Cubic,5,3,Ni1 N1 F3
Cubic,5,3,Cu1 N1 F3
Cubic,5,3,Ca3 Bi1 N1
Cubic,5,3,Eu1 Mn1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Na1 Bi1 Br6
Cubic,10,4,K2 Na1 In1 Cl6
Cubic,5,3,Tm3 Al1 N1
Cubic,10,4,Ba2 U1 Cd1 O6
Cubic,10,4,Rb2 Na1 Sb1 I6
Tetragonal,10,4,K1 Na1 Mo2 O6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,5,3,Lu3 Tl1 C1
Cubic,10,4,Na2 Ga1 Cu1 F6
Cubic,5,3,Cd1 Sn1 O3
Cubic,5,3,Y1 Ag1 O3
Cubic,10,4,Cs2 Rb1 As1 Cl6
Cubic,5,3,Ca3 Bi1 P1
Cubic,10,4,Rb2 Na1 Ta1 F6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,3,Na3 Cr1 F6
Cubic,5,3,K1 Cu1 Cl3
Cubic,5,3,Mg1 Ni3 C1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,Ba2 Li1 Os1 O6
Cubic,5,3,Y1 B1 Pt3
Cubic,5,3,Rb1 Ta1 O3
Cubic,10,4,Na2 Li1 Sb1 F6
Cubic,5,3,Mg1 Sn1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Tm3 Ga1 C1
Cubic,5,3,Ba3 P1 N1
Orthorhombic,20,3,La1 Y1 O3
Cubic,10,4,Cs2 Na1 La1 Br6
Cubic,10,4,Ba2 Na1 I1 O6
Cubic,5,3,Zr1 Hg1 O3
Cubic,5,3,Ba3 Sb1 As1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Er3 Al1 N1
Cubic,5,3,Hg1 Rh1 O3
Cubic,5,3,Nd3 Sn1 N1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Mg1 Ir1 O3
Cubic,5,3,Zn1 Si1 O3
Cubic,20,4,Sr2 Hf1 Cr1 O6
Cubic,5,3,Dy3 Al1 N1
Cubic,10,4,K2 Na1 Ce1 Cl6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,5,3,Zr1 Cd1 O3
Cubic,10,4,Rb2 Na1 Ce1 Cl6
Cubic,5,3,Sr3 Bi1 P1
Cubic,10,3,Cs1 Tl1 F3
Cubic,5,3,Zn1 Cu1 O3
Cubic,5,3,Ba3 As1 N1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Tetragonal,20,4,Sr3 Ca1 Fe4 O12
Cubic,5,3,Rb1 Au1 Br3
Cubic,5,3,Sc1 Co3 C1
Orthorhombic,20,3,Pr1 Cr1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,La2 Zr1 Ni1 O6
Cubic,5,3,Ca1 Co1 O3
Cubic,5,3,Ba3 Bi1 As1
Cubic,5,3,Cs1 Be1 F3
Orthorhombic,20,3,Tm1 In1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Ca1 Mn1 O3
Cubic,5,3,Rb1 Ag1 F3
Cubic,5,3,K3 C1 O1
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,5,3,Ti1 Hg1 O3
Cubic,10,3,Na3 Mo1 F6
Cubic,10,3,K3 In1 Cl6
Cubic,10,4,K2 Sb1 Au1 F6
Cubic,10,4,K2 Y1 Hg1 F6
Cubic,10,4,Cs2 K1 Pr1 Cl6
Cubic,5,3,Si1 Hg1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Li1 Sc1 Tl2 Cl6
Cubic,5,3,Zn1 N1 F3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,5,3,Ti1 Zn1 O3
Cubic,10,4,Rb2 Li1 Y1 I6
Cubic,10,4,K2 In1 Au1 Br6
Cubic,10,4,Mn1 Re1 Pb2 O6
Cubic,10,4,K1 Rb2 Sc1 I6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Tl1 Ag1 F6
Cubic,5,3,Hf1 B1 Rh3
Cubic,40,4,Ca7 Mg1 Co8 O24
Cubic,5,3,K1 Al1 H3
Cubic,5,3,Na1 Mo1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Mo1 Os1 Pb2 O6
Cubic,5,3,Ba1 V1 O3
Cubic,5,3,K1 Cr1 O3
Cubic,5,3,Ca1 V1 O3
Cubic,10,4,Cs2 Ag1 Bi1 Br6
Cubic,10,4,K2 Ag1 Mo1 F6
Cubic,5,3,Ca1 Fe1 O3
Monoclinic,20,3,Sc1 Mn1 O3
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,10,4,Rb2 Cu1 Sb1 F6
Cubic,5,3,Sr1 Rh1 O3
Cubic,10,4,Rb2 Cu1 Mo1 I6
Cubic,5,3,Ce3 Al1 C1
Cubic,5,3,Zn1 Ni3 N1
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Ca3 As1 P1
Cubic,5,3,Er3 In1 C1
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,10,4,K2 Nd1 Cu1 Cl6
Cubic,10,4,Cs2 Sc1 Hg1 Cl6
Cubic,10,4,K2 Cu1 Au1 Cl6
Cubic,10,4,Rb2 In1 Ag1 I6
Cubic,10,4,K2 La1 Au1 Cl6
Cubic,10,4,Cs2 In1 Hg1 I6
Tetragonal,50,4,Ba5 Li2 U3 O15
Orthorhombic,20,3,V1 Bi1 O3
Monoclinic,20,4,Ca2 Sc1 Ta1 O6
Cubic,5,3,Cr3 Rh1 N1
Cubic,10,4,Cs2 In1 Bi1 I6
Cubic,10,4,Ba6 In2 N1 F1
Cubic,10,4,Cs2 K1 La1 F6
Cubic,10,4,Cs2 Nd1 Ag1 F6
Trigonal,40,5,Cs8 Na4 Y1 Ho3 Cl24
Trigonal,15,3,Cs1 Mn1 Cl3
Cubic,10,4,Rb2 Sc1 In1 Cl6
Cubic,5,3,Cs1 Eu1 F3
Cubic,10,4,Cs2 Na1 Pr1 I6
Cubic,40,4,Ba2 Ce1 Pr1 O6
Cubic,5,3,Ba1 Be1 O3
Cubic,5,3,Ni1 Sb1 O3
Cubic,5,3,Mn3 As1 N1
Cubic,5,3,Rb1 Ca1 Br3
Monoclinic,20,4,La2 Ni1 Ru1 O6
Cubic,10,4,Rb2 Eu1 Cu1 Cl6
Cubic,5,3,Rb1 Cd1 F3
Trigonal,16,3,Ba3 Yb4 O9
Cubic,10,4,Ba2 Yb1 Sb1 O6
Cubic,10,4,Cs2 Li1 N1 F6
Cubic,5,3,Er1 Be1 O3
Cubic,10,4,Cs2 Na1 Nd1 Br6
Cubic,5,3,K1 Te1 O3
Cubic,10,4,Rb2 Tl1 In1 Br6
Cubic,10,4,Eu2 Ni1 Bi1 O6
Cubic,5,3,Lu1 Re1 O3
Cubic,10,4,Rb2 Na1 V1 Cl6
Cubic,5,3,Yb1 Re1 O3
Monoclinic,40,4,La2 Ga1 Fe1 O6
Cubic,10,4,K1 Gd1 Nb2 O6
Monoclinic,20,4,Sr2 Dy1 Ta1 O6
Cubic,10,4,Cs2 Ta1 Cu1 I6
Cubic,10,4,La2 Mg1 Nb1 O6
Cubic,20,4,Ba2 Mn1 W1 O6
Cubic,10,4,Sr1 La1 Co2 O6
Cubic,5,3,Na1 V1 F3
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,5,3,Rb1 Cd1 F3
Cubic,10,3,Cs3 Tb1 F6
Trigonal,16,3,Ba3 Yb4 O9
Cubic,10,4,Cs2 Tl1 In1 Br6
Cubic,10,4,Ba2 Yb1 Sb1 O6
Cubic,10,4,Cs2 Li1 N1 F6
Cubic,5,3,Er1 Be1 O3
Cubic,10,4,Rb2 Ga1 Cu1 F6
Cubic,10,4,K2 Na1 Tl1 Cl6
Cubic,10,4,Cs2 Ag1 Au1 F6
Cubic,10,4,K2 Cu1 Au1 Cl6
Cubic,5,3,Dy1 Sn1 O3
Cubic,5,3,Pu1 In1 O3
Cubic,10,4,Cs2 Na1 Nd1 Br6
Cubic,5,3,K1 Te1 O3
Tetragonal,15,4,K3 Mg1 Cu2 F9
Cubic,10,4,Rb2 Tl1 In1 Br6
Cubic,10,4,Eu2 Ni1 Bi1 O6
Cubic,10,4,Ba2 Ta1 Co1 O6
Cubic,5,3,Lu1 Re1 O3
Cubic,10,4,K2 Na1 Pd1 F6
Cubic,10,4,Rb2 Na1 V1 Cl6
Trigonal,20,3,Sr1 Ni1 O3
Cubic,10,4,K2 Na1 Rh1 F6
Cubic,5,3,Yb1 Re1 O3
Cubic,10,4,Sr2 In1 Sb1 O6
Monoclinic,40,4,La2 Ga1 Fe1 O6
Cubic,10,4,Ca2 La1 Sb1 O6
Tetragonal,10,4,Ba1 Eu1 Zr2 O6
Cubic,10,4,K1 Gd1 Nb2 O6
Monoclinic,20,4,Sr2 Dy1 Ta1 O6
Orthorhombic,20,3,Sc1 Cr1 O3
Cubic,10,3,Ba1 Ti1 O3
Cubic,10,4,Cs2 Ta1 Cu1 I6
Orthorhombic,20,3,Tb1 Rh1 O3
Cubic,10,4,La2 Mg1 Nb1 O6
Cubic,5,3,Rb1 Na1 O3
Cubic,5,3,Ho1 Ge1 O3
Cubic,10,4,Eu2 Ni1 W1 O6
Cubic,10,4,Cs2 Ta1 Cu1 I6
Cubic,10,4,Sr2 Ga1 Bi1 O6
Orthorhombic,20,3,Tb1 Rh1 O3
Cubic,5,3,Nd3 In1 C1
Cubic,5,3,Eu1 Hf1 O3
Cubic,5,3,Ca1 Sn1 S3
Cubic,10,4,La2 Mg1 Nb1 O6
Cubic,10,4,Rb2 Na1 Nd1 F6
Cubic,5,3,Rb1 Na1 O3
Cubic,10,4,K2 Pr1 Cu1 I6
Cubic,10,4,K2 Ga1 Ag1 Cl6
Cubic,5,3,Ho1 Ge1 O3
Cubic,10,4,Cs2 Hg1 Sb1 Cl6
Cubic,5,3,Cs1 Au1 Br3
Cubic,10,4,Cs2 Ag1 As1 Cl6
Cubic,5,3,Al1 Pb1 O3
Cubic,5,3,Mg1 Tl1 O3
Cubic,5,3,Si1 Mo1 O3
Cubic,10,4,K2 Na1 Pr1 F6
Monoclinic,20,4,Sr2 Sc1 Ta1 O6
Cubic,20,4,Sr2 Nb1 Co1 O6
Cubic,10,4,K2 Na1 Mo1 I6
Cubic,20,4,Ba2 Mn1 W1 O6
Cubic,10,4,Cs2 Na1 As1 F6
Cubic,10,4,Rb2 Nd1 Au1 Cl6
Cubic,10,4,Sr1 La1 Co2 O6
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Orthorhombic,40,5,Na3 Gd1 Ti2 Nb2 O12
Cubic,5,3,Na1 V1 F3
Orthorhombic,20,3,La1 Pd1 O3
Cubic,5,3,Eu1 Ti1 O3
Orthorhombic,20,3,Ba1 U1 O3
Cubic,10,4,Na1 Sr2 Mn1 O6
Monoclinic,20,4,Ba2 Ca1 U1 O6
Cubic,5,3,Nb1 Tl1 O3
Cubic,5,3,Er3 Sn1 C1
Cubic,10,4,Rb2 Eu1 Cu1 Cl6
Cubic,5,3,K3 I1 O1
Cubic,20,4,Ba2 Cr1 Mo1 O6
Monoclinic,60,4,La3 Ta1 Co2 O9
Cubic,10,4,K2 Na1 Sb1 Cl6
Cubic,10,4,Rb2 Ta1 Ag1 Br6
Cubic,10,4,Cs2 Na1 U1 Cl6
Cubic,10,4,Rb2 Tl1 Ag1 Br6
Cubic,10,4,Rb2 Ga1 Cu1 F6
Cubic,10,4,K2 Na1 Ta1 Cl6
Cubic,5,3,Mn3 Zn1 C1
Cubic,10,4,Rb2 Hg1 As1 Cl6
Cubic,10,4,Rb2 Cu1 Ni1 F6
Cubic,10,4,Rb2 Na1 In1 I6
Cubic,10,4,K2 Na1 Tl1 Cl6
Monoclinic,20,4,Sr2 Tb1 Ru1 O6
Cubic,10,4,Rb2 Li1 Nd1 Cl6
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Cubic,5,3,Gd1 Cu1 O3
Trigonal,16,3,Ba3 Yb4 O9
Cubic,5,3,Np1 Si1 O3
Cubic,10,4,K1 Ba2 I1 O6
Cubic,10,4,Cs2 Tl1 In1 Br6
Cubic,10,4,Sr2 V1 W1 O6
Cubic,10,4,Ba2 Yb1 Sb1 O6
Monoclinic,20,3,Sc1 Co1 O3
Orthorhombic,20,3,Tb1 Sc1 O3
Cubic,10,4,Sr2 Nd1 Mn1 O6
Cubic,5,3,Yb3 Sn1 C1
Cubic,10,4,Cs2 Na1 Y1 Br6
Cubic,10,4,Cs2 Li1 N1 F6
Orthorhombic,20,3,Er1 Co1 O3
Cubic,10,4,K2 Na1 Bi1 Cl6
Cubic,10,4,Rb2 Hg1 Sb1 I6
Orthorhombic,20,3,Tl1 Co1 O3
Cubic,10,4,K2 Na1 Sc1 Cl6
Cubic,10,4,Cs2 K1 Sb1 Br6
Cubic,5,3,Np1 Be1 O3
Cubic,10,4,Cs2 Ce1 Ag1 F6
Cubic,5,3,Er1 Be1 O3
Cubic,10,4,Rb2 Tl1 Bi1 F6
Cubic,10,4,Cs2 Na1 Pb1 F6
Cubic,10,4,Re1 Ni1 Pb2 O6
Monoclinic,20,4,Sr2 Co1 Sb1 O6
Cubic,10,4,Rb2 Cu1 Sb1 F6
Monoclinic,40,4,Ca2 Fe1 Ir1 O6
Cubic,10,4,Rb2 Y1 Cu1 Cl6
Monoclinic,20,4,Li1 Nd2 Ir1 O6
Cubic,10,4,K2 In1 Ga1 I6
Cubic,5,3,Ti1 Fe3 N1
Cubic,10,4,Cs2 Y1 Tl1 I6
Monoclinic,20,4,Sr2 Dy1 Ta1 O6
Cubic,10,4,Cs2 In1 Bi1 Cl6
Cubic,10,4,Cs2 Eu1 Ag1 Cl6
Cubic,10,3,Rb3 Rh1 F6
Tetragonal,10,4,Sr2 Ta1 Al1 O6
Cubic,5,3,Ho1 B1 O3
Orthorhombic,20,3,La1 Sc1 S3
Orthorhombic,20,3,Sc1 Cr1 O3
Monoclinic,34,3,Nd4 Ni3 O10
Cubic,10,3,Ba1 Ti1 O3
Cubic,10,4,Ba2 Dy1 Re1 O6
Cubic,10,4,Eu2 Ni1 W1 O6
Cubic,5,3,Y1 Ag1 O3
Cubic,10,4,Sr2 Tb1 Nb1 O6
Cubic,10,4,Sr2 Sm1 Fe1 O6
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,5,3,Rb1 Ru1 O3
Monoclinic,60,4,La3 Ta1 Co2 O9
Cubic,10,4,Ba2 V1 Bi1 O6
Orthorhombic,20,3,Ca1 Bi1 O3
Cubic,5,3,Rb1 Cd1 F3
Cubic,10,3,Cs3 Tb1 F6
Trigonal,16,3,Ba3 Yb4 O9
Cubic,10,4,Cs2 Tl1 In1 Br6
Cubic,10,4,Sr2 V1 W1 O6
Cubic,10,4,Ba2 Yb1 Sb1 O6
Cubic,10,4,Sr2 Nd1 Mn1 O6
Cubic,10,4,Cs2 Li1 N1 F6
Cubic,5,3,Er1 Be1 O3
Cubic,10,4,Cs2 Na1 U1 Cl6
Cubic,10,4,Rb2 Ga1 Cu1 F6
Cubic,5,3,Mn3 Zn1 C1
Cubic,10,4,K2 Na1 Tl1 Cl6
Monoclinic,20,4,Sr2 Tb1 Ru1 O6
Cubic,10,4,Cs2 Ag1 Au1 F6
Cubic,10,4,K2 Na1 Pr1 F6
Cubic,10,4,K2 Na1 Mo1 I6
Cubic,20,4,Ba2 Mn1 W1 O6
Cubic,10,4,Cs2 Na1 As1 F6
Cubic,10,4,Rb2 Nd1 Au1 Cl6
Cubic,10,4,Sr1 La1 Co2 O6
Cubic,5,3,Er1 Cu1 O3
Cubic,10,4,K2 Na1 Y1 Br6
Cubic,10,4,Rb2 Na1 Ga1 Cl6
Cubic,10,4,Na1 Sr2 Mn1 O6
Cubic,5,3,Er3 Sn1 C1
Cubic,10,4,Rb2 Eu1 Cu1 Cl6
Cubic,5,3,K3 I1 O1
Monoclinic,60,4,La3 Ta1 Co2 O9
Orthorhombic,20,3,Sc1 Co1 O3
Orthorhombic,20,3,Sm1 Tm1 O3
Cubic,10,4,Ba2 V1 Bi1 O6
Orthorhombic,20,3,Ca1 Bi1 O3
Cubic,10,4,Rb2 Y1 Ag1 F6
Cubic,10,4,Cs2 Cu1 Bi1 F6
Cubic,10,4,Cs2 Cu1 Bi1 Br6
Cubic,10,3,Rb3 Ru1 F6
Cubic,5,3,Rb1 Cd1 F3
Cubic,10,4,Rb2 Na1 Sc1 Br6
Cubic,5,3,Mg1 Re1 O3
Monoclinic,20,4,Sr2 Sc1 Nb1 O6
Cubic,10,3,Cs3 Tb1 F6
Trigonal,16,3,Ba3 Yb4 O9
Cubic,10,4,Cs2 Tl1 In1 Br6
Cubic,10,4,Sr2 V1 W1 O6
Cubic,10,4,Ba2 Yb1 Sb1 O6
Monoclinic,20,3,Sc1 Co1 O3
Cubic,10,4,Sr2 Nd1 Mn1 O6
Cubic,5,3,Yb3 Sn1 C1
Cubic,10,4,Cs2 Li1 N1 F6
Orthorhombic,20,3,Er1 Co1 O3
Orthorhombic,20,3,Tl1 Co1 O3
Cubic,5,3,Np1 Be1 O3
Cubic,5,3,Er1 Be1 O3
Cubic,10,4,Cs2 Na1 Pb1 F6
Cubic,5,3,Rb1 Mn1 O3
Cubic,5,3,Eu1 Zr1 O3
Cubic,10,4,K2 Cu1 Au1 Cl6
Cubic,5,3,Dy1 Sn1 O3
Cubic,5,3,Pu1 In1 O3
Cubic,10,4,Cs2 Li1 Bi1 Cl6
Cubic,10,4,Cs2 Na1 Nd1 Br6
Cubic,10,4,Na2 Li1 Mn1 F6
Cubic,5,3,Mo1 Pb1 O3
Cubic,5,3,K1 Te1 O3
Monoclinic,20,4,Ca2 Sc1 Sb1 O6
Tetragonal,15,4,K3 Mg1 Cu2 F9
Cubic,5,3,Cu3 Pd1 N1
Cubic,10,4,Rb2 Tl1 In1 Br6
Cubic,10,4,Eu2 Ni1 Bi1 O6
Cubic,10,4,Ba2 Ta1 Co1 O6
Cubic,5,3,Lu1 Re1 O3
Cubic,10,4,K2 Na1 Pd1 F6
Cubic,10,4,Rb2 Na1 V1 Cl6
Cubic,10,4,Sr2 Tb1 Zr1 O6
Trigonal,20,3,Sr1 Ni1 O3
Cubic,10,4,K2 Na1 Rh1 F6
Cubic,10,4,Ba2 Sm1 Cr1 O6
Cubic,10,4,Rb2 Li1 Nd1 Cl6
